,movie
6948,   Moonlight (2016)
6970,   Look Who's Back/Er ist wieder da (2015)
7006,   Princess Protection Program
7009,   Blue Jasmine (2013)
7013,   The Danish Girl (2015)
7031,   Magic in the Moonlight (2014)
7044,   Just Mercy (2019)
7047,   Snow White and the Huntsman
7056,   Sleepless in Seattle (1993)
7057,   Minority Report ( 2002)
7082,   Before We Go (2014)
7096,   Rushmore (1998)
7107,   Bolívar el héroe (2003)
7108,   Milk (2008)
7116,   Yi Yi (2000)
7119,   The Secret of Kells (2009)
7124,   Words on Bathroom Walls (2020)
7131,   The Man Who Killed Don Quixote (2018)
7137,   In Time (2011)
7152,   If I Stay (2014)
7154,   12 Years a Slave (2013)
7157,   The Witches (1990)
7163,   Misery (1990)
7164,   The Theory of Everything (2014)
7166,   Hair (1979)
7182,   Paperman (2012)
7184,   Rampage (2018)
7194,   Fantastic Four (2005)
7200,   papillon (1973)
7211,   The King and I (1956)
7232,   Crazy Little Thing Called Love (2010)
7235,   Breathe (2017)
7243,   Warcraft (2016)
7244,   The Boy
7249,   Ghajini
7250,   Collateral (2004)
7255,   Charade (1963)
7262,   A Taxi Driver
7270,   Vivarium
7290,   About a Boy (2002)
7313,   The Knight Before Christmas (2019)
7321,   The 3rd Eye (2017)
7326,   I Origins (2014)
7333,   Habibie & Ainun (2012)
7334,   The Promise (2016)
7336,   All Together Now (2020)
7338,   Pacific Heights (1990)
7349,   Body Double (1984)
7358,   Splice
7362,   The Girl with All the Gifts (2016)
7363,   Imagine Me and You (2005)
7375,   Regression (2015)
7376,   El cuento de las comadrejas (2019)
7392,   303 - Unterwegs zur Liebe
7399,   The Idiots/Idioterne (1998)
7404,   The Long Goodbye (1973)
7410,   Countdown
7415,   The Rabbi's Cat (2011)
7417,   Elizabeth (1998 - 2007)
7418,   The Endless
7422,   Orfeu Negro (Black Orpheus)
7425,   Red Lights
7426,   The Lodge
7431,   Sifir Bir
7434,   Brief Encounter(1945)
7446,   Equilibrium (2002)
7448,   True Stories (1986)
7453,   Into the Wild
7466,   Talk to Her (Hable con ella) 2002
7480,   The Werewolf Game: The Beast Side
7488,   The Party (2017)
7490,   Beanpole (2019)
7511,   Fluppy Dogs
7518,   Fright Night
7520,   Asako I & II (2018)
7525,   Animal Farm (1954)
7527,   2:22
7538,   Papillon (2017)
7539,   Gooby
7541,   A Woman Under the Influence
7542,   The Break-Up (2006)
7543,   Mosul (2019)
7551,   Black Bear (2020)
7560,   Kamienie na szaniec (2014)
7561,   Under The Skin
7565,   Black Beauty (2020)
7577,   Trash
7582,   Stardust Memories
7583,   Bright Star (2009)
7589,   Eat Pray Love
7597,   While We're Young (2014)
7612,   Call Me by Your Name (2017)
7667,   Pokémon: Detective Pikachu (2019)
7674,   The Princess Bride (1987)
7687,   Ex Machina (2014)
7689,   The Craft (1996)
7710,   Jaws (1975)
7714,   Wallace and Gromit
7719,   Oldboy (2003)
7747,   Fear and Loathing in Las Vegas (1998)
7789,   Death Note (2017)
7821,   Naked (1993)
7824,"   Tron / Tron: Legacy (1982, 2010)"
7839,   Zodiac (2007)
7841,   12 Monkeys / Twelve Monkeys ( 1995)
7845,   Better Watch Out
7855,   Grown Ups
7858,"   Good Morning, Vietnam (1987)"
7859,   Roman Holiday (1953)
7865,   Gravity (2013)
7867,   Edge of Tomorrow (2014)
7876,   The Babadook (2014)
7886,   Escape Room (2019)
7888,   20th Century Women (2016)
7891,   1408
7901,   L.A. Confidential (1997)
7902,   Stranger than Fiction (2006)
7906,   Harold and Kumar
7914,   The Jungle Book (2016)
7925,   Paul (2011)
7926,   The Devil's Rejects (2005)
7929,   The Cable Guy ( 1996)
7936,   Scary Stories to Tell in the Dark (2019)
7944,   Con Air
7951,   Escape Plan (2013)
7958,   Cinema Paradiso (1988)
7963,   Maurice (1987)
7970,   Sword Art Online The Movie: Ordinal Scale (2017)
7971,   Anger Management (2003)
7976,   Tomorrowland
7982,   Demolition Man (1993)
7987,   Lost Highway
7997,   The Glass Castle (2017)
7998,   Bringing Up Baby (1938)
8007,   The Age of Adaline (2015)
8017,   Hitch (2005)
8024,   The Double (2013)
8027,   Interstate 60 (2002)
8033,   Total Eclipse (1995)
8037,   The others (2001)
8038,   The Lovely Bones (2009)
8044,   Down with Love (2003)
8045,   Spartacus (1960)
8047,   Destination Wedding (2018)
8051,"   As Above, So Below (2014)"
8057,   Robin Hood (2018)
8071,   Dial M for Murder (1954)
8079,   The Maltese Falcon (1941)
8092,   Fracture (2007)
8094,   Eli (2019)
8113,   A Princess for Christmas
8114,   Brainscan (1994)
8123,   The Game (1997)
8128,   Sherlock Gnomes
8131,   The Girl Next Door (2004)
8140,   The Wave (Die Welle; 2008)
8161,   Two Weeks Notice (2002)
8171,   What Women Want (2000)
8173,   El secreto de sus ojos
8175,   Thank You for Smoking (2005)
8180,   The Post (2017)
8185,   Love Letter (1995)
8188,   Extremely Loud and Incredibly Close (2011)
8193,   This Beautiful Fantastic (2016)
8196,   Rafiki (2018)
8214,   The Plague Dogs (1982)
8233,   My Name Is Nobody (1973)
8242,   The Wife (2017)
8246,"   Like crazy (La pazza gioia, 2016)"
8248,   Nine Queens (2000)
8249,"   Alice in the Cities (Alice in den Städten, 1974)"
8253,"   Leafie, A Hen Into the Wild (2011)"
8259,   The good son (1993)
8270,   Bye Bye Brazil
8275,   River's Edge (1986)
8278,   The Saint (1996)
8284,   The Losers (2010)
8292,   Forever My Girl (2018)
8298,   Real Genius
8313,   Robert Langdon
8316,   The Outlaw Josey Wales (1976)
8317,   The Italian Job (1969)
8337,   Valerie and Her Week of Wonders
8354,   Prince of Darkness (1987)
8356,   Marley & Me (2008)
8362,   McMillion$ (2020)
8369,   Cool Runnings
8383,   The Nun's Story
8384,   2001: A Space Odyssey (1968)
8386,   Young Ahmed
8388,   Tesla (2020)
8392,   Time Freak (2018)
8400,   Mister Blot's Academy (Akademia Pana Kleksa; 1983)
8407,   Shanghai Knights (2003)
8413,   All That Jazz (1979)
8418,   Justice League : Doom
8423,   From Hell
8427,   I can't think straight
8428,   The Hidden Fortress ( 1958)
8429,   Un Oso Rojo
8430,   The Sure Thing
8443,   Svaha: The Sixth Finger
8454,   The Stepford Wives (2004)
8458,   Norm of the North
8460,   Gamer (2009)
8464,   Enter the Void (2009)
8467,   Children of Paradise (Les Enfants du Paradis)
8469,   Strangers on a Train (1951)
8473,   Il Marchese del Grillo (1981)
8477,   The Equalizer ( 2014- 2018)
8480,   The Monster (1994)
8481,   The 13th Warrior (1999)
8488,   Primer (2004)
8491,   Casanova (2005)
8493,   The Man from Earth (2007)
8508,   Shirley (2020)
8515,   Life (2017)
8521,   Videodrome (1983)
8536,   Jules and Jim / Jules et Jim (1962)
8539,   Behind the Mask: The Rise of Leslie Vernon (2006)
8544,   Disobedience
8555,   Molly’s Game
8562,   Lady J (2018)
8566,   Black Widow
8572,   Under Siege
8584,   Ran (1985)
8590,   The Vast of Night (2019)
8594,   Gone in 60 Seconds (2000)
8603,   Killing Bono
8607,   Sebastiane (1976)
8608,   Career Opportunities
8611,   Autumn in New York (2000)
8614,   A Bridge Too Far (1977)
8621,   Manos: The Hands of Fate
8631,   Hum Tum
8632,   Mujhse Shaadi Karogi
8709,   Steve Jobs (2015)
8743,   The Founder (2016)
8754,   The Handmaiden (2016)
8774,   Dark Shadows (2012)
8790,   Braveheart (1995)
8807,   Batman & Robin (1997)
8808,   Training Day (2001)
8830,   Being John Malkovich (1999)
8875,   Funny Games (2007)
8882,   What Happened to Monday (2017)
8883,   Gerald's Game (2017)
8892,   Hancock (2008)
8937,   Blade
8959,   Water for Elephants (2011)
8969,   The Rock (1996)
8974,"   Aguirre, the Wrath of God"
8977,   Eyes Wide Shut (1999)
8979,   Captain Phillips (2013)
9005,   Widows (2018)
9009,   Meet Joe Black (1998)
9015,   The Ninth Gate (1999)
9020,   The Time Machine (2002)
9022,   Real Steel (2011)
9032,   Motherless Brooklyn (2019)
9037,   Gretel and Hansel (2020)
9039,   Chinatown (1974)
9042,   K-PAX (2001)
9066,   Legend
9069,   Anna (2019)
9072,   Manhunter (1986)
9082,   Greyhound
9087,   Speed (1994)
9093,   Last Tango in Paris (1972)
9096,   1922 (2017)
9105,   The Guest (2014)
9109,   Room (2015)
9111,   To Die For (1995)
9118,   The Hobbit (1977)
9146,   Hobbs And Shaw (2019)
9147,   Re-Animator (1985)
9165,   Murder in the First (1995)
9167,   Mandy (2018)
9172,   The Omen (1976)
9175,   War Dogs
9191,   Die Wannseekonferenz (1984)
9199,   The Giver (2014)
9207,   The Aviator
9208,   From Here to Eternity (1953)
9218,   The Iron Lady ( 2011 )
9221,   Funny Face (1957)
9223,   Phantom of the Paradise (1974)
9230,   New Jack City (1991)
9249,   Oculus (2013)
9280,   Starting Out in the Evening (2007)
9282,   Inside Man (2006)
9293,   The Chronicles of Riddick (2004)
9302,   Aparichit
9307,   200 Pounds Beauty
9317,   Hatchet
9322,   Joe Kidd (1972)
9331,   2.0
9338,   Tesis (1996)
9339,   Julie & Julia (2009)
9344,   Revolución: El cruce de los Andes (2010)
9349,   The Pebble and the Penguin (1995)
9360,   Kung Fury
9364,   Kesari (2019)
9368,   Dead Ringers
9370,   The Bottom of the Sea (El Fondo del Mar; 2003)
9380,   Cincinnati Kid (1965)
9387,   Scanners (1981)
9389,   Lean on Me (1989)
9410,   Bad Lieutenant
9419,   Amok (2017)
9430,   Commando (1985)
9445,   All the President's Men (1976)
9448,   Twice Upon A Time (1983)
9451,   The Duellists (1977)
9456,   The Sorcerer’s Apprentice (2010)
9463,   Cadaver
9469,   Hero (2002)
9470,   Inherit The Wind
9476,   Ultraviolet
9479,   Side Effects
9483,   Dogville
9491,   The House of the Spirits (1993)
9507,   Family Man
9510,   Gods of Egypt ( 2016 )
9528,   Wine Country (2019)
9670,   Ghost World (2001)
9673,   Psycho (1960)
9694,   Creed (2015)
9718,   To the Bone (2017)
9776,   Atonement (2007)
9797,   Melancholia (2011)
9846,   Election (1999)
9850,   A Quiet Place (2018)
9951,   A Separation (2011)
9963,   God's Own Country
9984,   Never Let Me Go (2010)
10001,   Love Story (1970)
10019,   Child's Play (2019)
10022,   The Adventures Of Antoine Doinel
10040,   The terminal (2004)
10043,   The Reader (2008)
10047,   50 First Dates
10054,   Zero Day
10055,   Jackie (2016)
10065,   The Broken Hearts Gallery
10067,   Red Riding Hood (2011)
10123,   Raging Bull (1980)
10184,   I Lost My Body (2019)
10203,   Jeune & Jolie (2013)
10204,   Sleepaway Camp (1983)
10250,   Adrift (2018)
10264,   Antichrist (2009)
10293,   What did Jack do? (2020)
10329,   Enemy (2013)
10335,   Phantasm
10346,   Seabiscuit (2003)
10347,   The Turning (2020)
10376,   The House That Jack Built (2018)
10384,   You Are the Apple of My Eye (2011)
10392,   El Ángel (2018)
10395,   The Road Within (2015)
10399,   Vozvrashchenie / The Return (2003)
10403,   The Cell
10434,   Around the World in 80 Days (1956)
10435,   The bitter tears of Petra von Kant
10436,   Kelly's Heroes (1970)
10462,   Frank (2014)
10493,   Starry Starry Night (2011)
10497,   Penelope (2006)
10509,   Bean (1997)
10511,   Jeux d'enfants
10513,   Happy as Lazzaro
10520,   American Sniper (2014)
10552,   Death to Smoochy (2002)
10560,   Vox Lux (2018)
10572,   The Broken Circle Breakdown (2012)
10574,   Seven Pounds (2008)
10575,   Stutterer
10591,   Posesif (2017)
10611,   Malèna
10624,   Tom at The Farm (2013)
10637,   I Confess
10643,   Freaky Friday (1976 film)
10652,   Masculin Feminin
10655,   Batteries Not Included (1987)
10657,   The Big Green
10668,   Two Hands
10673,   Gone Baby Gone
10692,   Courage Mountain (1990)
10698,   The Road Home (1999)
10700,   Like Water for Chocolate
10730,   Aloft
10754,   A Man Escaped (1956)
10758,   La Pointe Courte (1955)
10764,   Duel (1971)
10765,   The Garden of the Finzi-Continis (1970)
10774,   Boy Meets Girl (1984)
10816,   The Eagle (2011)
10818,   A Werewolf Boy (2012)
10828,   The Social Dilemma (2020)
10840,   Sunset (Napszállta; 2018)
10841,   Kim Ji-Young: Born 1982 (2019)
10842,   Psychobitch (2019)
10852,   KIN Fables
10854,   The Tribes Of Palos Verdes
10855,   The Conversation
10867,   Cleo from 5 to 7 (1962)
10870,   People on the Alps (1943)
10874,   Basic Instinct
10879,"   Who Are You, Polly Maggoo? (1966)"
10880,   Elevator to the Gallows (1958)
10889,   After Earth
10897,   My Cousin Rachel
10904,   Archive (2020)
10906,   Open Your Eyes (abre los ojos) (1997)
10911,   Whisky Galore!
10914,   After Hours (1985)
10915,   Jack Reacher (2012-2016)
10917,   Ya no estoy aquí (I'm No Longer Here)
10921,   Pete's Dragon (2016)
10923,   Instant Family
10927,   Gummo
10928,   My Friend Dahmer
10933,   How I Live Now
10938,   Inuyashiki (2018)
10943,   Begin Again (2013)
10944,   Kimi no Me ga Toikakete Iru (Your Eyes Tell)
10972,   The Book of Eli
10976,   Ana e Vitória
10987,"   Paris, Texas (1984)"
10998,   Mystic River
10999,   Destiny (Kader; 2006)
11155,   Dumbo (1941)
11268,   Chungking Express (1994)
11285,   The Witch (2015)
11295,   Cast Away (2000)
11319,   The Circle (2017)
11369,   The Brave Little Toaster (1987)
11408,   What Ever Happened to Baby Jane? (1962)
11423,   Dilan 1990 (2018)
11478,   Seven Psychopaths (2012)
11530,   In the Tall Grass (2019)
11568,   The Innocents (1961)
11612,   Eraserhead (1977)
11667,   With Fire and Sword (Ogniem i Mieczem; 1999)
11669,   Powder (1995)
11726,   Blue Lagoon the Awakening
11734,   The Bridges of Madison County (1995)
11741,   Drag Me To Hell (2009)
11821,   Welcome to the Dollhouse (1995)
11842,   Little Manhattan
11908,   Case 39 (2009)
11912,   ARQ (2016)
11916,   Stonehearst Asylum (2014)
11918,   The Great Wall (2016)
11940,   The Grudge
11943,   Taare Zameen Par (Like Stars On Earth)
11945,   Filth (2013)
11950,   Sinister
11953,   The Man Who Laughs (1928)
11969,   Dear John
11979,   The Killing of a Sacred Deer (2017)
12005,   Dead Man Walking (1995)
12012,   Bridge Of Spies
12021,   Girl (2018)
12095,   Thunder Road
12096,   The Boy Who Harnessed the Wind
12102,   Delicatessen (1991)
12110,   Céline (1992)
12130,   The Invitation (2015)
12145,"   Raja, Ratu & Rahasia/King, Queen & Secret (2018)"
12147,   The Railway Man
12152,   The Exorcism of Emily Rose (2005)
12157,   Halloween H20
12207,   Heartbreak Ridge
12208,   Masters of the Universe (1987)
12217,   The Addiction (1995)
12219,   Children of heaven
12220,   The Cure
12221,   Dark City
12231,   The Magic of Ordinary Days (2005)
12232,   The Salesman (2016)
12245,   The To Do List
12275,   Rules Don’t Apply (2016)
12335,   La Notte (1961)
12348,   The Life Aquatic with Steve Zissou
12350,   The Killing (1956)
12360,   The Secret: Dare to Dream (2020)
12363,   buddha: the great departure
12372,   Frailty (2001)
12375,   The Lake House (2006)
12383,   Spotlight (2015)
12392,   28 Weeks Later
12401,   07/27/1978
12402,   Rob Roy (1995)
12404,   My SO Has Got Depression (2011)
12406,   The Zookeeper's Wife (2017)
12421,   Arachnophobia (1990)
12449,   Spookley the Square Pumpkin (2004)
12591,   Evil Dead
12609,   First Blood (1982)
12627,   Good Time (2017)
12642,   Lucy (2014)
12663,   A Walk to Remember (2002)
12677,   World War Z (2013)
12877,   They Live (1988)
12881,   Coco Chanel (2008)
12884,   Predestination
12907,   Bright (2017)
12963,   The Gift (2015)
12974,   Better Days (2019)
12988,   Um Pistoleiro Chamado Papaco
12990,   Sound of Metal (2019)
12998,   Hellboy (2019)
13029,   La Belle Personne
13030,   Benny's Video (1992)
13050,   Ghost in the Shell (2017)
13051,   The Best of Me (2014)
13058,   Moon (2009)
13059,   The Italian Job (2003)
13070,   12 Strong (2018)
13077,   Freaky (2020)
13079,   The Hunt (2020)
13081,   Johnny English (2003)
13086,   The Lone Ranger
13106,   The Great Escape (1963)
13165,   Risky Business (1983)
13183,   Gentlemen Prefer Blondes (1953)
13210,   Ava (2020)
13211,   The Hurt Locker
13216,   2 Fast 2 Furious
13232,"   Halloween 4,5,6 Timeline"
13238,   Psy
13239,   Becky
13251,   Rampage (2009)
13261,   Logan Lucky
13300,   Æon Flux ( 2005)
13306,   The Sword in the Stone (1963)
13332,   My Girl
13335,   Ugetsu (1953)
13341,   Don't Breathe
13374,   You're Next
13379,   The Mechanic
13382,   Geostorm
13384,   My Octopus Teacher (2020)
13385,   I spit on your grave ( 1978 )
13395,   Macbeth (2015)
13402,   Tomb Raider (2018)
13408,   The City of Lost Children
13417,   Man On Fire (2004)
13418,   Beowulf & Grendel (2005)
13441,   The Man Who Knew Too Much (1956)
13442,   Winged Migration (Le Peuple Migrateur)
13456,   Shiki-Jitsu
13476,   McFarland USA
13484,   Conan the Barbarian (2011)
13502,   Zardoz (1974)
13509,"   Le Jour Se Lève (Daybreak, 1939)"
13510,"   Crying Out Love, in the Center of the World (2004)"
13525,   Cutthroat Island
13527,   Andrei Rublev (1966)
13543,   Nemesis (1992)
13545,   Freier Fall
13546,   O Vendedor de Sonhos
13558,   The Big Sleep (1946)
13568,   Oldboy (2013)
13585,   Gregory’s Girl
13598,   The Blood of Heroes / The Salute of the Jugger (1989)
13600,   The Vanishing (Spoorloos; 1988)
13607,   Romper Stomper (1992)
13611,   Flawless (1999)
13613,   Hard Eight (1996)
13622,   Eagle vs Shark (2007)
13630,   Love at First Fight
13639,   The End? L'inferno fuori (Hell Outside)
13641,   The Art of Racing in the Rain (2019)
13666,   Assassin's Creed (2016)
13708,   The Lincoln Lawyer
13729,   Ninja Assassin
13732,   My Spy
13739,   The Devils (1971)
13749,   The Commuter (2018)
13762,   The Girl On The Train
13766,   My Bloddy Valentine (2009)
13780,   Les Traducteurs (The Translators)
13983,   Mary and Max (2009)
14139,   #Alive
14190,   Dances with Wolves (1990)
14226,   Locke
14252,   Law Abiding Citizen (2009)
14300,   I Am Legend (2007)
14313,   Lawrence of Arabia (1962)
14315,   On Body and Soul (2017)
14326,   Sunset Boulevard (1950)
14349,   Seven Years In Tibet
14416,   Double Indemnity (1944)
14422,   The Road (2009)
14450,   The Jackal
14453,   My Teacher / Suki ni Natte mo Ii Desuka? (2017)
14473,   Chariots of Fire (1981)
14524,   Level 16
14552,   Argo (2012)
14563,   A Tale of Two Sisters (2003)
14565,   Phenomenon (1996)
14595,   Hua Mulan (2009)
14632,   The Migthy Ducks Trilogy
14718,   50/50 (2011)
14727,   Long Way North (Tout en haut du monde; 2015)
14849,   Arlington Road (1999)
14870,   Another Woman (1988)
14886,   The Experiment
14895,   Where Eagles Dare (1968)
14902,   The Miracle Worker (1962)
14926,   Welt am Draht - World on a Wire (1973)
14968,   My Father And My Son
14985,   Transcendence (2014)
15015,   Trapped
15018,   Street Fighter: The Legend of Chun-Li ( 2009)
15022,   Perfume: The Story Of A Murderer
15035,   Kamchatka (2002)
15037,   Silence (2016)
15099,   Prometheus
15114,   A Moment in the Reeds
15139,   How to Make an American Quilt (1995)
15345,   A Rainy Day in New York (2019)
15359,   All the Bright Places (2020)
15416,   The Sixth Sense (1999)
15429,   Secretary
15441,   You Were Never Really Here (2017)
15456,   Big Eyes (2014)
15489,   La Vie d'Adèle (Blue Is The Warmest Color; 2013)
15518,   In the Mood for Love (2000)
15545,   Candyman (1992)
15548,   Chemical Hearts
15567,   Swiss Army Man
15568,   Insomnia (2002)
15611,   Qatsi trilogy
15612,   Triangle (2009)
15637,   Matthias & Maxime (2019)
15644,   The Thief and the Cobbler (1993
15664,   Bad Ronald
15665,   The Wrestler (2008)
15704,   Anna (Mindscape: 2013)
15707,   The Passion of Joan of Arc
15726,   The lover (1992)
15731,   Repulsion
15735,   A Christmas Carol (1938)
15738,   Splash (1984)
15740,   Single White Female (1992)
15787,   NaPolA (2004)
15812,   A Street Cat Named Bob (2016)
15819,   Wings of Desire
15834,   Grosse Pointe Blank (1997)
15845,   The Fall
15850,   Comet (2014)
15874,   Official Secrets ( 2019)
15890,   The Science of Sleep
15891,   Berlin Syndrome
15895,   Year One (2009)
15910,   Babyteeth (2019)
15929,   After hours
15937,   Yellow Elephant (2013)
15946,   Raggedy Ann & Andy: A Musical Adventure
15953,   The Good Girl (2002)
15966,   Amour (2012)
15991,   Handsome Devil
15997,   Poison Ivy (1992)
16000,   A Monster Calls (2016)
16006,   Free Guy (2020)
16035,   Rapture (1965)
16054,   The Big Blue
16055,   Teen
16061,   Lady Vengeance (2005)
16065,   The Man Who Fell To Earth (1976)
16075,   The Water Horse: Legend of the Deep (2007)
16090,   The Voice Of The Moon ( 1990 )
16096,"   He Won't Kill, She Won't Die (2019)"
16119,   Anniyan
16128,   The Hitcher (1986)
16138,   Carrie Pilby
16148,   Cache (2005)
16150,   Johnny Got His Gun (1971)
16177,   Rebels of the Neon God (1992)
16184,   In Secret
16197,   I Frankenstein ( 2014)
16228,   Brothers (2009)
16239,   Benjamin (2018)
16247,   Untamed Heart
16250,   The Prime of Miss Jean Brodie
16260,   The Vanishing Of Sidney Hall
16269,   I Stand Alone (1998)
16276,   Nutcracker and the four realms
16280,   Mediador
16286,   On the Road (2012 )
16311,   Never Rarely Sometimes Always
16316,   Stay (2005)
16326,   I'm Not Angry! (2014)
16329,   Bad Boy Bubby (1993)
16376,   Arrival (2016)
16506,   You've Got Mail (1998)
16556,   The Fountain (2006)
16569,"   Synecdoche, New York (2008)"
16605,   Stalker (1979)
16641,   Norwegian Wood (2010)
16653,   Face/Off (1997)
16672,   Confessions (2010)
16684,   Hellboy 2: The Golden Army (2008)
16794,   Glass (2019)
16798,   High and Low
16820,   Baraka (1992)
16825,   Columbus (2017)
16841,   Still Alice
16844,   Mary Queen of Scots (2018)
16866,   Ring (1998)
16879,   A Ghost Story
16894,   Don Jon
16902,   Stuart: A Life Backwards (2007)
16991,   One Hour Photo
16995,"   The Gospel According to St. Matthew (Il Vangelo secondo Matteo, 1964)"
16998,   A Most Violent Year
17006,   Another Me (2013)
17027,"   Truly, Madly, Deeply ( 1990)"
17028,   Somewhere in Time (1980)
17041,   In A Glass Cage
17045,   The Mission (1986)
17061,"   My Tomorrow, Your Yesterday (2016)"
17071,   Meshes Of The Afternoon (1943)
17074,   The Three Musketeers (2011)
17091,   Juliet Of The Spirits (1965)
17096,   Dersu Uzala (1975)
17125,   Kogustaki Mucize 7
17155,   Rem Lazar (1989)
17156,   A Little Chaos ( 2014 )
17196,   Trzecia część nocy (1972)
17209,   The Princess and the Goblin (1990)
17232,   Three Colours trilogy
17244,   The Thin Red Line (1998)
17248,   The Other Lamb
17492,   It’s Such a Beautiful Day (2012)
17536,   8 1/2
17558,   Radioactive (2019)
17564,   The Adventures Of Mark Twain
17643,   Geek Charming (2011)
17655,   Straight Up (2020)
17669,   Brick
17733,   Superhero Movie (2008)
17753,   Straw Dogs(1971)
17763,   The Great War of Archimedes (2019)
17785,   Sea of Love (1989)
17797,   The Postcard Killings
17845,   Two Lovers (2008)
17858,   Three Days Of The Condor
17873,   12 Rounds (2009)
17918,   Lady Chatterley's Lover (2015)
17922,   Hogfather (2006)
17929,   Mother (2020)
17931,   Nobody knows
18123,   Red Sparrow (2018)
18140,   Le Samouraï
18154,   Miss Sloane
18195,   Hitman (2007-2015)
18215,   The Hustle (2019)
18324,   Pale Rider (1985)
18341,   I Saw the Devil (2010)
18393,   Appointment with Death ( 1988)
18396,   Red Eye (2005)
18471,   The Man from Nowhere (2010)
18474,   Saturn 3 (1980)
18504,   Lifeforce (1985)
18558,   Dracula: Prince of Darkness (1966)
18577,   The Silence of the Marsh (2019)
18586,   Beyond Words (2017)
18587,   The Hunger (1983)
18615,   Throne of Blood (1957)
18656,   The Joy Luck Club
18660,   The incredible Hulk 2007
18675,   The Killers
18689,   Logan's Run (1976)
18711,   Millennium series (Swedish 2009)
18714,   The 6th Day (2000)
18730,   The Switch (2010)
